date,amount,merchant,category,type,bank,day_of_week,hour,time_category,period_code,period_range
2025-07-14 21:54:00,24670.0,쿠팡,쇼핑/의류,일시불,신한,0.0,21.0,evening,2025-W28,2025-07-14/2025-07-20
2025-07-14 20:35:00,78000.0,스미비,식사/외식,일시불,신한,0.0,20.0,evening,2025-W28,2025-07-14/2025-07-20
2025-07-14 17:01:00,11500.0,카페삼사오,카페/음료,일시불,신한,0.0,17.0,afternoon,2025-W28,2025-07-14/2025-07-20
2025-07-14 09:25:00,10500.0,카카오T일반택시_0,교통,일시불,신한,0.0,9.0,morning,2025-W28,2025-07-14/2025-07-20
2025-07-14 09:01:00,-10700.0,카카오T택시_가승인,교통,일시불,신한,0.0,9.0,morning,2025-W28,2025-07-14/2025-07-20
2025-07-12 21:43:00,1000.0,설아아이스크림 신원당점,식사/외식,일시불,신한,5.0,21.0,evening,2025-W27,2025-07-07/2025-07-13
2025-07-12 15:59:00,4700.0,투썸플레이스 을지로입구역점,카페/음료,일시불,신한,5.0,15.0,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-11 16:35:00,5500.0,이디야(성신여대점),카페/음료,일시불,신한,4.0,16.0,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-10 15:04:00,-891000.0,녹천자동차운전학원,기타,일시불,신한,3.0,15.0,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-09 17:49:00,6000.0,모블러(Mobler),카페/음료,일시불,신한,2.0,17.0,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-09 15:48:00,6500.0,모블러(Mobler),카페/음료,일시불,신한,2.0,15.0,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-09 15:01:00,13946.0,마라퀸 성신여대점,식사/외식,일시불,신한,2.0,15.0,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-06 18:08:00,3200.0,㈜ 테크앤롤,기타,일시불,신한,6.0,18.0,evening,2025-W27,2025-06-30/2025-07-06
2025-07-06 12:46:00,1000.0,4233 마음센터(광안점),기타,일시불,신한,6.0,12.0,afternoon,2025-W27,2025-06-30/2025-07-06
2025-07-05 12:26:00,12100.0,브룩스,카페/음료,일시불,신한,5.0,12.0,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-05 12:17:00,14400.0,스구식탁 서면,식사/외식,일시불,신한,5.0,12.0,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-05 00:06:00,3600.0,이마트24 R서면어반스테이점,쇼핑/의류,일시불,신한,5.0,0.0,night,2025-W26,2025-06-30/2025-07-06
2025-07-04 19:18:00,54000.0,푸실(PUSIL),식사/외식,일시불,신한,4.0,19.0,evening,2025-W26,2025-06-30/2025-07-06
2025-07-04 18:05:00,2500.0,치이(chii),카페/음료,일시불,신한,4.0,18.0,evening,2025-W26,2025-06-30/2025-07-06
2025-07-04 15:52:00,12800.0,캐린상점,쇼핑/의류,일시불,신한,4.0,15.0,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-04 13:10:00,18000.0,국제밀면,식사/외식,일시불,신한,4.0,13.0,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-03 21:22:00,3800.0,코레일유통주식회사(서울역),교통,일시불,신한,3.0,21.0,evening,2025-W26,2025-06-30/2025-07-06
2025-07-03 15:17:00,5500.0,이디야(성신여대점),카페/음료,일시불,신한,3.0,15.0,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-02 07:52:00,9566.0,Amazon_AWS,구독/정기결제,일시불,신한,2.0,7.0,morning,2025-W26,2025-06-30/2025-07-06
2025-06-30 16:11:00,7300.0,보드게임카페 레드버튼 성신여대,카페/음료,일시불,신한,0.0,16.0,afternoon,2025-W26,2025-06-30/2025-07-06
2025-06-30 14:06:00,6000.0,더사랑약국,쇼핑/의류,일시불,신한,0.0,14.0,afternoon,2025-W26,2025-06-30/2025-07-06
2025-06-29 20:23:00,41700.0,밀포유 인사동점,식사/외식,일시불,신한,6.0,20.0,evening,2025-W26,2025-06-23/2025-06-29
2025-06-29 19:12:00,26000.0,마리바,식사/외식,일시불,신한,6.0,19.0,evening,2025-W26,2025-06-23/2025-06-29
2025-06-29 16:20:00,6600.0,퀸즈베이커리(삼청점),카페/음료,일시불,신한,6.0,16.0,afternoon,2025-W26,2025-06-23/2025-06-29
2025-06-29 14:18:00,13000.0,도마 그리고 유즈라멘,식사/외식,일시불,신한,6.0,14.0,afternoon,2025-W26,2025-06-23/2025-06-29
2025-06-25 22:14:00,5000.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,2.0,22.0,evening,2025-W25,2025-06-23/2025-06-29
2025-06-25 21:46:00,4950.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,2.0,21.0,evening,2025-W25,2025-06-23/2025-06-29
2025-06-25 21:31:00,-4950.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,2.0,21.0,evening,2025-W25,2025-06-23/2025-06-29
2025-06-25 21:13:00,4950.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,2.0,21.0,evening,2025-W25,2025-06-23/2025-06-29
2025-06-25 09:46:00,3900.0,(주)카카오,금융/이체,일시불,신한,2.0,9.0,morning,2025-W25,2025-06-23/2025-06-29
2025-06-25 01:17:00,84900.0,(주)카카오,금융/이체,일시불,신한,2.0,1.0,night,2025-W25,2025-06-23/2025-06-29
