date,amount,merchant,category,type,bank,day_of_week,hour,time_category,period_code,period_range
2025-07-14 21:54:00,24670,쿠팡,,일시불,신한,0,21,evening,2025-W28,2025-07-14/2025-07-20
2025-07-14 20:35:00,78000,스미비,,일시불,신한,0,20,evening,2025-W28,2025-07-14/2025-07-20
2025-07-14 17:01:00,11500,카페삼사오,,일시불,신한,0,17,afternoon,2025-W28,2025-07-14/2025-07-20
2025-07-14 09:25:00,10500,카카오T일반택시_0,,일시불,신한,0,9,morning,2025-W28,2025-07-14/2025-07-20
2025-07-14 09:01:00,-10700,카카오T택시_가승인,,일시불,신한,0,9,morning,2025-W28,2025-07-14/2025-07-20
2025-07-12 21:43:00,1000,설아아이스크림 신원당점,,일시불,신한,5,21,evening,2025-W27,2025-07-07/2025-07-13
2025-07-12 15:59:00,4700,투썸플레이스 을지로입구역점,,일시불,신한,5,15,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-11 16:35:00,5500,이디야(성신여대점),,일시불,신한,4,16,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-10 15:04:00,-891000,녹천자동차운전학원,,일시불,신한,3,15,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-09 17:49:00,6000,모블러(Mobler),,일시불,신한,2,17,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-09 15:48:00,6500,모블러(Mobler),,일시불,신한,2,15,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-09 15:01:00,13946,마라퀸 성신여대점,,일시불,신한,2,15,afternoon,2025-W27,2025-07-07/2025-07-13
2025-07-06 18:08:00,3200,㈜ 테크앤롤,,일시불,신한,6,18,evening,2025-W27,2025-06-30/2025-07-06
2025-07-06 12:46:00,1000,4233 마음센터(광안점),,일시불,신한,6,12,afternoon,2025-W27,2025-06-30/2025-07-06
2025-07-05 12:26:00,12100,브룩스,,일시불,신한,5,12,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-05 12:17:00,14400,스구식탁 서면,,일시불,신한,5,12,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-05 00:06:00,3600,이마트24 R서면어반스테이점,,일시불,신한,5,0,night,2025-W26,2025-06-30/2025-07-06
2025-07-04 19:18:00,54000,푸실(PUSIL),,일시불,신한,4,19,evening,2025-W26,2025-06-30/2025-07-06
2025-07-04 18:05:00,2500,치이(chii),,일시불,신한,4,18,evening,2025-W26,2025-06-30/2025-07-06
2025-07-04 15:52:00,12800,캐린상점,,일시불,신한,4,15,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-04 13:10:00,18000,국제밀면,,일시불,신한,4,13,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-03 21:22:00,3800,코레일유통주식회사(서울역),,일시불,신한,3,21,evening,2025-W26,2025-06-30/2025-07-06
2025-07-03 15:17:00,5500,이디야(성신여대점),,일시불,신한,3,15,afternoon,2025-W26,2025-06-30/2025-07-06
2025-07-02 07:52:00,9566,Amazon_AWS,,일시불,신한,2,7,morning,2025-W26,2025-06-30/2025-07-06
2025-06-30 16:11:00,7300,보드게임카페 레드버튼 성신여대,,일시불,신한,0,16,afternoon,2025-W26,2025-06-30/2025-07-06
2025-06-30 14:06:00,6000,더사랑약국,,일시불,신한,0,14,afternoon,2025-W26,2025-06-30/2025-07-06
2025-06-29 20:23:00,41700,밀포유 인사동점,,일시불,신한,6,20,evening,2025-W26,2025-06-23/2025-06-29
2025-06-29 19:12:00,26000,마리바,,일시불,신한,6,19,evening,2025-W26,2025-06-23/2025-06-29
2025-06-29 16:20:00,6600,퀸즈베이커리(삼청점),,일시불,신한,6,16,afternoon,2025-W26,2025-06-23/2025-06-29
2025-06-29 14:18:00,13000,도마 그리고 유즈라멘,,일시불,신한,6,14,afternoon,2025-W26,2025-06-23/2025-06-29
2025-06-25 22:14:00,5000,성신정문점 런드리익스프레스샵,,일시불,신한,2,22,evening,2025-W25,2025-06-23/2025-06-29
2025-06-25 21:46:00,4950,성신정문점 런드리익스프레스샵,,일시불,신한,2,21,evening,2025-W25,2025-06-23/2025-06-29
2025-06-25 21:31:00,-4950,성신정문점 런드리익스프레스샵,,일시불,신한,2,21,evening,2025-W25,2025-06-23/2025-06-29
2025-06-25 21:13:00,4950,성신정문점 런드리익스프레스샵,,일시불,신한,2,21,evening,2025-W25,2025-06-23/2025-06-29
2025-06-25 09:46:00,3900,(주)카카오,,일시불,신한,2,9,morning,2025-W25,2025-06-23/2025-06-29
2025-06-25 01:17:00,84900,(주)카카오,,일시불,신한,2,1,night,2025-W25,2025-06-23/2025-06-29
2025-06-24 16:31:00,5000,헤이숲(Heysoop),,일시불,신한,1,16,afternoon,2025-W25,2025-06-23/2025-06-29
2025-06-24 14:49:00,12000,헤이숲(Heysoop),,일시불,신한,1,14,afternoon,2025-W25,2025-06-23/2025-06-29
2025-06-24 00:49:00,22000,역전할머니맥주성신여대,,일시불,신한,1,0,night,2025-W25,2025-06-23/2025-06-29
2025-06-23 21:32:00,8000,포토이즘박스 샤로수길점,,일시불,신한,0,21,evening,2025-W25,2025-06-23/2025-06-29
2025-06-23 19:07:00,14500,(주)카카오,,일시불,신한,0,19,evening,2025-W25,2025-06-23/2025-06-29
2025-06-23 16:13:00,6200,투썸플레이스서울대역중앙점,,일시불,신한,0,16,afternoon,2025-W25,2025-06-23/2025-06-29
2025-06-21 20:03:00,9800,씨제이올리브영(주)고양원당점,,일시불,신한,5,20,evening,2025-W24,2025-06-16/2025-06-22
2025-06-19 17:31:00,10000,현주네뚝배기,,일시불,신한,3,17,afternoon,2025-W24,2025-06-16/2025-06-22
2025-06-19 15:03:00,4400,(주)교보문고,,일시불,신한,3,15,afternoon,2025-W24,2025-06-16/2025-06-22
2025-06-18 21:47:00,9200,씨유 성북명랑점,,일시불,신한,2,21,evening,2025-W24,2025-06-16/2025-06-22
2025-06-18 01:34:00,49630,주식회사 무신사페이먼츠(MU,,일시불,신한,2,1,night,2025-W24,2025-06-16/2025-06-22
2025-06-16 19:29:00,60800,이야시,,일시불,신한,0,19,evening,2025-W24,2025-06-16/2025-06-22
2025-06-16 03:56:00,1500,주식회사 몽땅컴퍼니,,일시불,신한,0,3,night,2025-W24,2025-06-16/2025-06-22
2025-06-15 23:38:00,6500,주식회사 몽땅컴퍼니,,일시불,신한,6,23,evening,2025-W24,2025-06-09/2025-06-15
2025-06-15 20:45:00,11200,래격마라탕,,일시불,신한,6,20,evening,2025-W24,2025-06-09/2025-06-15
2025-06-15 18:29:00,6800,투썸플레이스 화정점,,일시불,신한,6,18,evening,2025-W24,2025-06-09/2025-06-15
2025-06-15 15:00:00,9400,(주)카카오,,일시불,신한,6,15,afternoon,2025-W24,2025-06-09/2025-06-15
2025-06-12 22:15:00,1400,달콤샵(어울림점),,일시불,신한,3,22,evening,2025-W23,2025-06-09/2025-06-15
2025-06-12 17:36:00,4700,(주)카카오,,일시불,신한,3,17,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-12 13:40:00,2600,(주)씨앤코컴퍼니 성신여대수정,,일시불,신한,3,13,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-12 13:13:00,2400,이마트24 성신여대수정관점,,일시불,신한,3,13,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-11 21:17:00,3300,㈜발트페이,,일시불,신한,2,21,evening,2025-W23,2025-06-09/2025-06-15
2025-06-11 13:15:00,3000,매머드익스프레스성신여대점,,일시불,신한,2,13,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-11 13:10:00,200,출력119,,일시불,신한,2,13,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-11 13:08:00,200,출력119,,일시불,신한,2,13,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-10 14:56:00,4000,카페클라츠,,일시불,신한,1,14,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-10 14:19:00,9500,면식당성신여대점,,일시불,신한,1,14,afternoon,2025-W23,2025-06-09/2025-06-15
2025-06-09 18:27:00,4000,매머드익스프레스성신여대점,,일시불,신한,0,18,evening,2025-W23,2025-06-09/2025-06-15
2025-06-08 16:34:00,22800,핵밥 성신여대점,,일시불,신한,6,16,afternoon,2025-W23,2025-06-02/2025-06-08
2025-06-07 15:55:00,3400,오와케이크 성산여대점,,일시불,신한,5,15,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-06 15:21:00,5100,세븐일레븐 성북성신여고점,,일시불,신한,4,15,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-05 17:35:00,2400,이마트24 성신여대수정관점,,일시불,신한,3,17,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-05 14:46:00,4500,오와케이크 성산여대점,,일시불,신한,3,14,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-05 00:00:00,59800,한국철도공사,,일시불,신한,3,0,night,2025-W22,2025-06-02/2025-06-08
2025-06-04 17:55:00,3400,오와케이크 성산여대점,,일시불,신한,2,17,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-03 14:59:00,21000,멘지 성신여대점,,일시불,신한,1,14,afternoon,2025-W22,2025-06-02/2025-06-08
2025-06-03 00:11:00,1000,메타코인,,일시불,신한,1,0,night,2025-W22,2025-06-02/2025-06-08
2025-06-03 00:06:00,28800,그날그밤(성신여대점),,일시불,신한,1,0,night,2025-W22,2025-06-02/2025-06-08
2025-06-02 20:10:00,10000,(주)대승인터컴,,일시불,신한,0,20,evening,2025-W22,2025-06-02/2025-06-08
2025-06-02 11:16:00,4089,Amazon_AWS,,일시불,신한,0,11,morning,2025-W22,2025-06-02/2025-06-08
2025-05-31 21:47:00,3100,주식회사 스타필드고양,,일시불,신한,5,21,evening,2025-W21,2025-05-26/2025-06-01
2025-05-29 15:52:00,2600,더비즈랩 성신여대 수하루점,,일시불,신한,3,15,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-29 00:46:00,30000,우아한형제들㈜,,일시불,신한,3,0,night,2025-W21,2025-05-26/2025-06-01
2025-05-28 17:15:00,10900,육연식당,,일시불,신한,2,17,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-28 14:43:00,5200,매머드익스프레스성신여대점,,일시불,신한,2,14,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-26 20:05:00,1000,메타코인,,일시불,신한,0,20,evening,2025-W21,2025-05-26/2025-06-01
2025-05-26 20:05:00,10000,메타코인,,일시불,신한,0,20,evening,2025-W21,2025-05-26/2025-06-01
2025-05-26 17:30:00,10000,스파츠(SPATZ),,일시불,신한,0,17,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-26 16:54:00,10000,성수완당 성신여대점,,일시불,신한,0,16,afternoon,2025-W21,2025-05-26/2025-06-01
2025-05-25 16:26:00,41000,주식회사 투맨푸드,,일시불,신한,6,16,afternoon,2025-W21,2025-05-19/2025-05-25
