거래일시,구분,거래금액,거래 후 잔액,거래구분,내용,메모
2025.04.07 11:46:02,출금,-60,"40,000",저금통,저금통,
2025.04.07 15:07:38,출금,"-3,800","36,200",체크카드결제,아띠커피,
2025.04.07 18:17:50,출금,"-8,900","27,300",체크카드결제,와플칸 답십리점,
2025.04.08 11:26:13,출금,-300,"27,000",저금통,저금통,
2025.04.09 09:24:40,입금,"50,000","77,000",일반입금,정지은,
2025.04.10 11:42:51,입금,157,"77,157",캐시백,프렌즈 체크카드 캐시백,
2025.04.10 17:46:37,출금,"-3,200","73,957",체크카드결제,이마트24 성신여대수,
2025.04.10 18:27:49,출금,"-46,300","27,657",자동이체(기타),후불교통대금,
2025.04.11 11:37:47,출금,-657,"27,000",저금통,저금통,
2025.04.11 18:27:25,출금,"-2,900","24,100",체크카드결제,바나프레소답십리역,
2025.04.12 15:02:09,출금,"-3,800","20,300",체크카드결제,아띠커피,
2025.04.12 22:44:15,출금,"-1,800","18,500",체크카드결제,지에스25 답십리역,
2025.04.14 11:46:55,출금,-500,"18,000",저금통,저금통,
2025.04.14 20:40:39,출금,"-2,900","15,100",체크카드결제,바나프레소답십리역,
2025.04.15 11:25:40,출금,-100,"15,000",저금통,저금통,
2025.04.18 10:01:42,입금,"11,490","26,490",K-패스 적립금 환급,K-패스 적립금 환급,
2025.04.18 19:03:08,출금,"-2,900","23,590",체크카드결제,바나프레소답십리역,
2025.04.19 13:08:02,출금,"-15,600","7,990",일반이체,JIN LIANJI,
2025.04.21 11:46:14,출금,-990,"7,000",저금통,저금통,
2025.04.26 04:30:52,입금,1,"7,001",예금이자,입출금통장 이자,
2025.04.28 11:57:20,출금,-1,"7,000",저금통,저금통,
2025.04.29 14:49:37,출금,"-2,000","5,000",체크카드결제,지에스25 답십리역,
2025.05.01 17:40:14,출금,-900,"4,100",체크카드결제,이마트24 성신여대수,
2025.05.02 11:24:08,출금,-100,"4,000",저금통,저금통,
2025.05.07 08:48:06,출금,"-2,200","1,800",체크카드결제,이마트24 성신여대수,
2025.05.07 10:47:09,입금,"50,000","51,800",오픈뱅킹,정지은,
2025.05.07 11:55:48,출금,"-3,850","47,950",체크카드결제,카페뮬,
2025.05.08 11:28:00,출금,-950,"47,000",저금통,저금통,
2025.05.12 11:40:40,입금,139,"47,139",캐시백,프렌즈 체크카드 캐시백,
2025.05.12 18:32:27,출금,"-43,600","3,539",자동이체(기타),후불교통대금,
2025.05.13 11:39:05,출금,-539,"3,000",저금통,저금통,
2025.05.13 13:15:06,출금,"-2,800",200,체크카드결제,컴포즈커피 왕십리역,
2025.05.15 10:29:47,입금,"10,000","10,200",일반입금,정지은,
2025.05.15 11:27:31,출금,-200,"10,000",저금통,저금통,
2025.05.15 11:35:30,출금,"-6,200","3,800",체크카드결제,알촌성신여대점,
2025.05.15 11:57:13,출금,"-3,000",800,체크카드결제,매머드익스프레스성,
2025.05.20 10:02:13,입금,"12,660","13,460",K-패스 적립금 환급,K-패스 적립금 환급,
2025.05.20 11:28:25,출금,-800,"12,660",저금통,저금통,
2025.05.21 11:28:45,출금,-660,"12,000",저금통,저금통,
2025.05.22 14:29:02,입금,"50,000","62,000",일반입금,정지은,
2025.05.22 14:31:06,출금,"-18,000","44,000",체크카드결제,육쌈냉면,
2025.05.22 17:41:17,출금,"-2,000","42,000",체크카드결제,이마트24 성신여대수,
2025.05.22 20:45:06,출금,"-11,900","30,100",체크카드결제,모두와,
2025.05.23 11:29:03,출금,-100,"30,000",저금통,저금통,
2025.05.24 04:28:04,입금,1,"30,001",예금이자,입출금통장 이자,
2025.05.24 15:51:02,출금,"-6,000","24,001",체크카드결제,쿄우커피,
2025.05.26 11:59:37,출금,-1,"24,000",저금통,저금통,
2025.05.27 11:17:55,출금,"-10,500","13,500",체크카드결제,샤브로21 성신여대점,
2025.05.28 11:27:26,출금,-500,"13,000",저금통,저금통,
2025.05.28 14:37:32,출금,"-1,800","11,200",체크카드결제,컴포즈커피 성신여대,
2025.05.28 17:15:41,출금,"-8,900","2,300",체크카드결제,육연식당,
2025.05.28 17:54:29,입금,"20,000","22,300",오픈뱅킹,정지은,
2025.05.28 18:00:47,출금,"-5,000","17,300",체크카드결제,아성다이소,
2025.05.29 11:28:48,출금,-300,"17,000",저금통,저금통,
2025.05.29 14:26:01,출금,"-1,800","15,200",체크카드결제,컴포즈커피 성신여대,
2025.05.29 17:50:25,출금,"-1,400","13,800",체크카드결제,이마트24 성신여대수,
2025.05.29 20:49:20,출금,"-3,500","10,300",체크카드결제,핫브레드성신여대입,
2025.05.29 21:32:38,출금,"-3,580","6,720",체크카드결제,이마트 에브리데이,
2025.05.30 11:27:46,출금,-720,"6,000",저금통,저금통,
2025.05.30 17:21:43,입금,"5,000","11,000",오픈뱅킹,정지은,
2025.05.30 17:22:56,출금,"-5,300","5,700",체크카드결제,레이업,
2025.06.02 11:48:31,출금,-700,"5,000",저금통,저금통,
2025.06.04 20:02:36,입금,"50,000","55,000",오픈뱅킹,정지은,
2025.06.05 14:38:26,출금,"-1,600","53,400",체크카드결제,매머드익스프레스성,
2025.06.05 17:35:37,출금,-900,"52,500",체크카드결제,이마트24 성신여대수,
2025.06.06 11:26:36,출금,-500,"52,000",저금통,저금통,
2025.06.08 15:41:06,출금,"-1,800","50,200",체크카드결제,바나프레소답십리역,
2025.06.09 11:47:40,출금,-200,"50,000",저금통,저금통,
2025.06.10 11:43:51,입금,216,"50,216",캐시백,프렌즈 체크카드 캐시백,
2025.06.10 18:29:25,출금,"-40,300","9,916",자동이체(기타),후불교통대금,
2025.06.11 08:20:47,출금,"-2,500","7,416",체크카드결제,이마트24 성신여대수,
2025.06.11 11:39:41,출금,-916,"6,500",저금통,저금통,
2025.06.11 12:21:59,출금,-200,"6,300",체크카드결제,프린트카페 성신여대,
2025.06.12 11:00:13,출금,"-3,000","3,300",체크카드결제,매머드익스프레스성,
2025.06.12 11:27:22,출금,-300,"3,000",저금통,저금통,
2025.06.12 13:38:20,출금,-700,"2,300",체크카드결제,이마트24 성신여대수,
2025.06.13 11:27:04,출금,-300,"2,000",저금통,저금통,
2025.06.14 13:01:15,입금,"50,000","52,000",오픈뱅킹,정지은,
2025.06.14 13:03:00,출금,"-1,000","51,000",체크카드결제,아성다이소,
2025.06.14 13:06:13,출금,"-5,100","45,900",체크카드결제,지에스25 답십리역,
2025.06.16 11:47:27,출금,-900,"45,000",저금통,저금통,
2025.06.19 14:56:39,출금,"-8,900","36,100",체크카드결제,씨제이올리브영(주),
2025.06.20 10:03:05,입금,"11,670","47,770",K-패스 적립금 환급,K-패스 적립금 환급,
2025.06.20 11:27:07,출금,-100,"47,670",저금통,저금통,
2025.06.20 15:02:11,출금,"-27,210","20,460",체크카드결제,주식회사 브이디코랩,
2025.06.23 11:48:10,출금,-460,"20,000",저금통,저금통,
2025.06.23 20:57:21,출금,"-16,000","4,000",일반이체,황채원,
2025.06.24 11:40:43,출금,"-2,000","2,000",체크카드결제,이디야 장한평 군자,
2025.06.28 04:27:59,입금,2,"2,002",예금이자,입출금통장 이자,
